measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources,
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-23,AL,Alabama,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-14,AK,Alaska,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-6,AZ,Arizona,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-30,AR,Arkansas,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-16,CA,California,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-10,CO,Colorado,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-8,CT,Connecticut,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-37,DE,Delaware,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-8,DC,District of Columbia,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-10,FL,Florida,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",8,GA,Georgia,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-14,HI,Hawaii,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-6,ID,Idaho,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",2,IL,Illinois,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-6,IN,Indiana,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-15,IA,Iowa,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence",-5,KS,Kansas,2014,2017,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
